index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster
89,58.595556,0.208980,0.046039,2063.554,3994.976,2111.405,0.056307,,0.0000,-266.533386,213.044342,-86.813408,49.942287,11.518765,-18.166771,7.974062,-8.616549,-3.950496,-15.217766,-1.659346,-9.402407,-6.070571,unpitched,mid,soft,medium,1,1
90,58.804535,0.243810,0.097345,738.013,1184.326,1611.851,0.008856,,0.0000,-372.675079,173.666702,50.896580,33.384190,28.656025,9.730182,14.230094,13.177451,0.608352,1.455998,0.467696,-0.524496,7.434979,unpitched,dark,medium,medium,0,0
91,59.048345,0.371519,0.083077,1546.205,2646.626,1765.922,0.046150,,0.0000,-304.774292,167.939774,-3.695856,34.400257,19.284386,1.331792,14.880245,6.205203,1.355286,2.937878,0.791301,-1.934438,6.532300,unpitched,dark,medium,long,0,0
92,59.419864,0.278639,0.068707,3366.613,6048.246,2636.973,0.106367,,0.0000,-181.210083,157.628510,-98.290535,46.144337,-40.002102,-7.670383,-5.005195,-8.329892,0.583367,-11.016141,7.991837,-0.005684,-0.153598,unpitched,bright,medium,long,4,4
93,59.698503,0.150930,0.143644,741.209,1025.903,1548.957,0.011161,,0.0000,-333.683258,189.775375,45.777061,31.932142,26.709263,6.545247,10.571843,14.798535,3.488372,-0.258927,1.290378,-1.657990,0.055371,unpitched,dark,loud,short,0,0
94,59.849433,0.127710,0.019579,2694.737,4904.187,2746.390,0.060750,,0.0000,-337.747223,154.637863,-66.906013,74.084389,9.248868,15.943597,6.762427,-3.152757,7.217485,0.929504,8.180091,-3.522608,6.796119,unpitched,mid,soft,short,3,3
95,59.977143,0.150930,0.134820,528.762,598.315,1454.707,0.009242,,0.0000,-373.168488,180.037750,67.438606,39.196232,28.800671,11.254774,10.791807,13.297891,6.887030,4.103783,1.470695,-0.969717,2.741613,unpitched,dark,loud,short,0,0
96,60.128073,0.383129,0.086642,1471.736,2554.851,1827.091,0.042193,,0.0000,-303.810089,168.795822,0.634041,34.561855,16.731937,-0.904459,16.231085,9.477057,3.627710,4.298238,2.980436,0.607705,5.850743,unpitched,dark,medium,long,0,0
97,60.511202,0.267029,0.068842,3271.671,5946.753,2600.689,0.104085,,0.0000,-190.557877,168.927780,-99.461243,46.777317,-36.347614,-14.157529,0.881067,-13.598858,8.764052,-14.831268,11.218551,-1.547266,-2.252875,unpitched,mid,medium,medium,1,1
98,60.778231,0.452789,0.074240,1341.493,2425.715,1781.480,0.033838,,0.0000,-309.597412,176.632889,-4.766706,29.992300,29.814144,-6.095781,8.531167,8.022397,-3.417749,2.524834,2.679475,-2.246626,0.812257,unpitched,dark,medium,long,0,0
99,61.231020,0.348299,0.094481,1530.582,2547.170,1816.076,0.047300,,0.0000,-290.926544,175.024506,-7.110551,32.387409,17.101904,-1.474679,15.167869,5.552782,-0.464144,2.501113,4.016219,2.031893,6.413280,unpitched,dark,medium,long,0,0
