index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster
775,195.697778,0.127710,0.023845,5834.155,11238.538,5152.919,0.127482,,0.0000,-312.633087,76.043419,15.516567,36.792103,16.184305,18.881273,-22.109283,12.306632,6.178398,1.222374,-16.174726,15.992718,1.265606,unpitched,bright,medium,short,5
776,195.825488,0.255420,0.022055,8732.509,16001.042,5704.382,0.240574,,0.0000,-294.516907,-26.746279,-34.455418,35.047916,26.171278,28.263216,-15.996191,21.582348,6.467163,9.661952,-10.780556,25.666973,-2.878005,unpitched,bright,medium,medium,5
777,196.080907,0.116100,0.307709,2073.471,3664.560,3052.339,0.053755,,0.0000,-304.500763,79.259796,18.024544,44.434372,29.864338,33.594666,5.600605,21.274290,21.811401,9.769475,3.626587,17.911514,9.512699,unpitched,dark,loud,short,0
778,196.197007,0.139320,0.063579,3135.834,5651.638,3278.432,0.043307,,0.0000,-284.641418,90.657173,-61.388344,49.514957,10.394949,31.442839,15.065626,6.076227,4.768948,25.605793,0.071976,12.871278,5.617589,unpitched,mid,loud,short,1
779,196.336327,0.243810,0.019995,3578.288,6873.007,4085.492,0.062078,,0.0000,-405.478149,101.277855,-4.118235,47.308445,24.776659,28.831789,1.112365,6.588808,2.973218,10.912764,-0.888025,9.152939,2.405328,unpitched,mid,medium,medium,1
780,196.580136,0.278639,0.018138,4749.023,10303.207,4673.997,0.172676,,0.0000,-408.933594,86.702545,-28.206385,24.169960,10.573761,38.271042,-22.176758,22.619915,-7.201154,18.409548,-3.990977,6.047379,-1.802446,unpitched,mid,medium,long,3
781,196.858776,0.243810,0.161347,3632.505,6591.118,3901.082,0.039795,,0.0000,-328.924194,65.326653,29.844685,40.182232,19.760643,32.125919,7.696722,13.988807,7.320444,11.086811,6.654892,9.248053,7.384050,unpitched,mid,loud,medium,0
782,197.102585,0.139320,0.317873,1450.541,2883.793,2612.031,0.004582,,0.0000,-314.660309,85.044083,30.237307,44.988785,27.104614,35.037884,16.187532,23.203289,22.063213,16.418190,6.180287,17.537981,18.273218,unpitched,dark,loud,short,0
783,197.241905,0.104490,0.075323,1989.068,3901.816,3143.597,0.010107,,0.0000,-323.672302,127.570045,-34.333618,12.869490,14.322088,26.465206,6.279947,12.380610,11.788774,12.905444,6.074333,16.623865,13.180890,unpitched,dark,loud,short,1
784,197.346395,0.278639,0.175675,3787.583,7981.066,4187.339,0.033281,,0.0000,-353.217072,36.286827,7.426154,36.163624,36.717773,24.498493,12.337808,18.944010,18.951712,18.701597,9.111663,19.235622,13.045668,unpitched,mid,loud,long,0
785,197.625034,0.255420,0.032160,3671.228,7459.851,4449.033,0.065048,,0.0000,-409.004761,80.826019,-1.163820,34.669724,22.681376,23.781569,3.755016,11.590594,11.386068,20.505693,-1.390697,13.865817,11.971413,unpitched,mid,medium,medium,0
786,197.880454,0.127710,0.030351,4665.411,8448.193,4354.345,0.093343,,0.0000,-366.566162,64.211456,8.994765,52.741379,12.589047,21.406982,-0.673394,8.327000,0.635064,14.510746,-1.625607,18.792656,4.761220,unpitched,mid,medium,short,1
787,198.008163,0.127710,0.031871,2657.276,5211.035,3752.868,0.029663,,0.0000,-377.893951,118.814178,-39.001926,15.374400,8.231657,27.085436,5.725716,10.372474,4.919395,17.104418,1.487027,14.974275,8.426578,unpitched,dark,medium,short,1
788,198.135873,0.267029,0.181523,3296.600,6258.087,3912.663,0.049052,,0.0000,-354.005737,52.607594,32.646072,25.866163,24.291739,30.405626,11.232661,19.054979,14.729600,19.554033,9.946286,15.502900,14.191204,unpitched,mid,loud,medium,0
789,198.402902,0.127710,0.025162,8663.868,14071.948,4558.379,0.310099,,0.0000,-311.774597,-44.300854,-30.295767,52.473774,-4.554350,25.307013,6.904702,17.973230,-10.398595,24.251650,-4.023174,11.611024,-3.554888,unpitched,bright,medium,short,5
790,198.530612,0.081270,0.010621,4308.914,8088.409,3888.783,0.115356,,0.0000,-357.335876,96.465881,-38.404835,48.772888,-12.322081,6.027073,-23.337864,1.123606,-24.177118,4.631818,-15.788849,13.575033,-7.387755,unpitched,mid,soft,short,2
791,198.611882,0.336689,0.015816,4894.602,10257.700,4697.962,0.152734,,0.0000,-388.005676,88.578995,-28.710838,17.397167,0.990422,28.547525,-16.609821,17.286995,-14.595917,11.280095,-4.512462,11.068050,-3.217947,unpitched,mid,soft,long,3
792,198.948571,0.197370,0.019367,7575.093,13266.846,4959.922,0.193712,,0.0000,-349.689819,19.337408,-9.834990,52.379108,0.157377,46.295998,-11.438221,37.521870,-15.042171,17.207520,-2.255428,14.166196,-7.655989,unpitched,bright,medium,short,3
793,199.145941,0.313469,0.016089,5393.818,9455.383,4161.582,0.192871,,0.0000,-257.475647,78.347923,-57.745312,27.066650,-29.458075,18.991671,-19.938099,11.392745,-18.181803,19.069897,-17.510380,5.283689,-15.087935,unpitched,mid,soft,long,2
794,199.459410,0.220590,0.211004,2828.215,4950.483,3729.517,0.017041,,0.0000,-338.294983,49.385479,11.688669,26.757807,19.453341,36.616108,12.138133,24.996628,15.910109,28.527868,12.594812,16.357721,12.825203,unpitched,dark,loud,medium,0
795,199.680000,0.290249,0.030287,9042.430,15516.329,5588.284,0.326904,,0.0000,-272.598602,-7.850753,-37.969608,-1.171085,8.853840,4.748881,-10.792955,4.601583,4.000109,8.113934,-5.979402,13.350830,-0.132624,unpitched,bright,medium,long,5
796,199.970249,0.243810,0.026505,8756.969,16524.776,6269.568,0.178533,,0.0000,-286.762482,8.667427,5.714463,30.246229,22.095978,20.725897,-7.212766,23.806067,16.146460,17.706743,2.756603,25.078310,-2.685450,unpitched,bright,medium,medium,5
797,200.214059,0.267029,0.233599,3019.531,7054.816,4250.399,0.038127,,0.0000,-274.995483,66.657051,5.257422,25.396193,18.222383,31.151545,2.182854,20.986412,14.931607,23.056692,15.886775,23.360586,3.677374,unpitched,mid,loud,medium,0
798,200.481088,0.243810,0.082304,1785.519,3602.896,2820.607,0.009988,,0.0000,-365.758331,127.858467,-2.152215,39.326187,17.804218,24.573242,14.490168,3.497620,8.064445,22.101048,21.699348,16.787306,9.004543,unpitched,dark,loud,medium,0
799,200.724898,0.278639,0.049193,3380.344,6064.611,4127.793,0.042969,,0.0000,-338.678558,101.467209,-16.444908,8.965542,6.420370,51.688705,-2.809580,22.015156,-6.017172,33.372940,21.562771,17.897837,-4.689852,unpitched,mid,loud,long,3
800,201.003537,0.139320,0.027731,2908.495,4523.629,2942.767,0.030574,,0.0000,-389.712463,128.817719,-20.237404,36.953346,-4.906833,43.161667,5.748214,-2.495332,-6.019731,16.113091,19.071333,21.972452,-1.040334,unpitched,dark,medium,short,1
801,201.142857,0.371519,0.022753,2528.278,4262.269,2792.853,0.066480,,0.0000,-343.955627,147.878250,-69.931702,12.243863,1.747813,19.055231,-0.271232,1.679301,7.538943,28.205015,2.555673,16.900637,-1.845813,unpitched,dark,medium,long,1
